State,Forest,Year,SPBt,Spotst-1,Spotst-2,Cleridst-1,"Cleridst-1, filled in",Endo-brevicomin (1=yes),Probability of any SPB spots,Approximate spots to expect if there are spots,P(>50 spots),P(>150 spots),P(>400 spots),P(>1000 spots),P(>3000 spots)
MS,Bienville N.F.,2018,238,2446,368,417,417,0,0.98,355.00,0.83,0.69,0.53,0.37,0.24
MS,Carroll Co.,2018,52.8,0,0,,,1,0.10,6.00,0.02,0.01,0.00,0.00,0.00
MS,Chickasaw Co.,2018,294.2,1139,2,93.8,93.8,1,0.91,113.00,0.64,0.47,0.31,0.18,0.10
MS,Chickasawhay R.D.,2018,123,0,0,42,42,0,0.42,14.00,0.13,0.06,0.03,0.01,0.00
MS,Copiah Co.,2018,1890.0,45,29,137.2,137.2,0,0.96,154.00,0.72,0.55,0.38,0.24,0.13
MS,Desoto R.D.,2018,1,1,0,34,34,0,0.09,6.00,0.01,0.01,0.00,0.00,0.00
MS,Holly Springs R.D.,2018,55,130,1,91,91,1,0.59,24.00,0.25,0.14,0.07,0.03,0.01
MS,Homochitto R.D.,2018,2635,1056,471,582,582,1,0.98,208.00,0.76,0.61,0.44,0.28,0.17
MS,Kemper Co.,2018,252.2,0,0,,,1,0.20,8.00,0.04,0.02,0.01,0.00,0.00
MS,Marion Co.,2018,29.1,0,0,,,1,0.08,5.00,0.01,0.00,0.00,0.00,0.00
MS,Scott Co.,2018,1268.9,1548,213,151.2,151.2,0,0.99,1077.00,0.91,0.82,0.69,0.54,0.40
MS,Tishomingo Co.,2018,220.9,0,0,77.0,77.0,1,0.19,8.00,0.04,0.02,0.01,0.00,0.00
MS,Tombigbee R.D.,2018,382,1381,3,209,209,1,0.92,116.00,0.65,0.48,0.32,0.19,0.10
NC,Appalachian R.D.,2018,95,0,0,22,22,1,0.17,8.00,0.03,0.01,0.00,0.00,0.00
NC,Croatan N.F.,2018,292,0,0,42,42,1,0.24,9.00,0.06,0.02,0.01,0.00,0.00
NC,Grandfather R.D.,2018,1,0,0,20,20,1,0.06,5.00,0.01,0.00,0.00,0.00,0.00
NC,Uwharrie R.D.,2018,0,0,0,57,57,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
NC ,Beaufort & Craven Co.,2018,1.4,0,0,8.4,8.4,1,0.07,5.00,0.01,0.00,0.00,0.00,0.00
NC ,Brunswick Co.,2018,0.0,0,0,2.8,2.8,1,0.08,5.00,0.01,0.00,0.00,0.00,0.00
NC ,Cheoah RD,2018,43.8,66,17,,,1,0.58,19.00,0.21,0.11,0.05,0.02,0.01
NC ,Dare Co.,2018,1.0,0,0,,,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
NC ,Davidson Co.,2018,0.3,0,0,,,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
NC ,Gaston Co.,2018,0.0,0,0,11.2,11.2,1,0.06,5.00,0.01,0.00,0.00,0.00,0.00
NC ,Hyde Co.,2018,0.3,0,0,,,1,0.04,4.00,0.00,0.00,0.00,0.00,0.00
NC ,Macon Co.,2018,70.8,9,0,156.8,156.8,1,0.26,11.00,0.06,0.03,0.01,0.00,0.00
